term,count
secretary general,8
protect people,4
act early,3
member states,3
development plan,3
implementation gap,2
intergenerational teams,2
key word,2
career development,2
career development plan,2
human talent,2
soft power,2
intercultural dialogue,2
general assembly,2
mutual understanding,2
human rights,2
