id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
169,complexity,unauk,0,4,0,0,0
170,group,unauk,4,0,0,0,0
171,goals,unauk,0,2,2,0,0
172,gender,unauk,4,0,0,0,0
173,pillar,unauk,0,2,0,2,0
174,sustainable,unauk,2,2,0,0,0
175,initiatives,unauk,0,3,0,0,0
176,capacities,unauk,0,0,0,3,0
177,real,unauk,3,0,0,0,0
178,delivered,unauk,0,3,0,0,0
179,commitment,unauk,3,0,0,0,0
180,worst,unauk,0,3,0,0,0
181,haven,unauk,0,0,0,3,0
182,won,unauk,3,0,0,0,0
183,partner,unauk,0,0,0,3,0
184,running,unauk,0,0,0,3,0
185,different,unauk,3,0,0,0,0
186,implementation,unauk,0,3,0,0,0
187,enter,unauk,0,0,0,3,0
188,rica,unauk,0,0,0,3,0
189,structure,unauk,0,0,0,3,0
190,understand,unauk,3,0,0,0,0
191,ambition,unauk,0,3,0,0,0
192,thought,unauk,0,0,0,3,0
193,possible,unauk,0,0,3,0,0
194,costa,unauk,0,0,0,3,0
195,question,unauk,0,0,0,3,0
196,ll,unauk,3,0,0,0,0
197,mediation,unauk,3,0,0,0,0
198,words,unauk,0,0,3,0,0
199,man,unauk,0,0,3,0,0
200,shocks,unauk,0,3,0,0,0
201,comes,unauk,0,0,3,0,0
202,humanitarian,unauk,3,0,0,0,0
203,finance,unauk,0,0,0,3,0
204,saw,unauk,3,0,0,0,0
205,looking,unauk,3,0,0,0,0
206,members,unauk,0,3,0,0,0
207,present,unauk,3,0,0,0,0
208,creating,unauk,0,0,3,0,0
209,remain,unauk,3,0,0,0,0
210,cost,unauk,3,0,0,0,0
211,home,unauk,0,0,0,3,0
212,evidence,unauk,0,0,3,0,0
213,woman,unauk,0,0,3,0,0
214,results,unauk,3,0,0,0,0
215,entire,unauk,0,3,0,0,0
216,cetera,unauk,3,0,0,0,0
217,nature,unauk,0,3,0,0,0
218,building,unauk,3,0,0,0,0
219,issues,unauk,0,0,3,0,0
220,ukraine,unauk,0,0,3,0,0
221,management,unauk,0,0,0,3,0
222,vital,unauk,0,3,0,0,0
223,referring,unauk,0,0,3,0,0
224,et,unauk,3,0,0,0,0
225,expression,unauk,0,0,3,0,0
226,play,unauk,0,0,3,0,0
227,seen,unauk,0,0,3,0,0
228,veto,unauk,0,3,0,0,0
229,avoid,unauk,2,0,0,0,0
230,health,unauk,0,2,0,0,0
231,developing,unauk,0,2,0,0,0
232,50,unauk,2,0,0,0,0
233,dialogue,unauk,2,0,0,0,0
234,act,unauk,0,2,0,0,0
235,worked,unauk,0,0,0,2,0
236,tell,unauk,0,0,0,2,0
237,agile,unauk,0,0,0,2,0
238,diplomacy,unauk,0,2,0,0,0
239,reigns,unauk,0,0,2,0,0
240,possibility,unauk,0,0,2,0,0
241,prison,unauk,2,0,0,0,0
242,article,unauk,0,0,2,0,0
243,stake,unauk,0,0,2,0,0
244,backlash,unauk,2,0,0,0,0
245,served,unauk,2,0,0,0,0
246,depends,unauk,0,0,2,0,0
247,push,unauk,2,0,0,0,0
248,anybody,unauk,0,0,2,0,0
249,true,unauk,0,0,0,2,0
250,confidence,unauk,0,0,2,0,0
