term,count
secretary general,11
human rights,10
doesn't mean,4
climate change,4
united nations,4
member states,4
early warning,3
193 member,3
really important,3
high commissioner,3
early warning signs,2
et cetera,2
michelle bachelet,2
warning signs,2
young people,2
coup d'etat,2
really believe,2
results needed,2
doesn't mean endorsement,2
mean endorsement,2
we're failing,2
rebecca greenspan,2
people want,2
193 member states,2
