id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
168,rebecca,gwl,3,0,0,0,0
169,agenda,gwl,0,0,0,3,0
170,sense,gwl,3,0,0,0,0
171,communities,gwl,3,0,0,0,0
172,i've,gwl,3,0,0,0,0
173,big,gwl,3,0,0,0,0
174,afraid,gwl,3,0,0,0,0
175,delivery,gwl,0,3,0,0,0
176,present,gwl,0,3,0,0,0
177,funds,gwl,0,0,0,3,0
178,purpose,gwl,0,3,0,0,0
179,peoples,gwl,0,3,0,0,0
180,master,gwl,0,3,0,0,0
181,bachelet,gwl,3,0,0,0,0
182,state,gwl,3,0,0,0,0
183,improve,gwl,3,0,0,0,0
184,unique,gwl,0,0,0,3,0
185,information,gwl,0,0,0,3,0
186,failing,gwl,3,0,0,0,0
187,193,gwl,3,0,0,0,0
188,level,gwl,0,0,0,3,0
189,independent,gwl,3,0,0,0,0
190,voice,gwl,0,0,0,3,0
191,year,gwl,3,0,0,0,0
192,issues,gwl,3,0,0,0,0
193,sit,gwl,3,0,0,0,0
194,architecture,gwl,0,3,0,0,0
195,new,gwl,0,3,0,0,0
196,tools,gwl,3,0,0,0,0
197,places,gwl,3,0,0,0,0
198,community,gwl,0,0,0,3,0
199,resources,gwl,3,0,0,0,0
200,ones,gwl,0,0,0,3,0
201,drive,gwl,0,0,0,3,0
202,invest,gwl,0,0,0,3,0
203,live,gwl,0,0,0,3,0
204,children,gwl,3,0,0,0,0
205,adaptation,gwl,0,0,0,3,0
206,complex,gwl,0,3,0,0,0
207,tell,gwl,0,0,0,3,0
208,hub,gwl,0,3,0,0,0
209,transform,gwl,0,3,0,0,0
210,produce,gwl,3,0,0,0,0
211,ask,gwl,0,0,0,3,0
212,dignity,gwl,0,3,0,0,0
213,impact,gwl,0,3,0,0,0
214,multipolarity,gwl,0,0,0,3,0
215,idea,gwl,0,0,0,3,0
216,president,gwl,3,0,0,0,0
217,serve,gwl,0,3,0,0,0
218,start,gwl,0,0,0,3,0
219,shocks,gwl,0,2,0,0,0
220,called,gwl,0,2,0,0,0
221,possible,gwl,2,0,0,0,0
222,leadership,gwl,0,2,0,0,0
223,saying,gwl,0,2,0,0,0
224,political,gwl,0,2,0,0,0
225,july,gwl,0,2,0,0,0
226,capacities,gwl,0,0,0,2,0
227,lead,gwl,0,2,0,0,0
228,failure,gwl,0,0,0,2,0
229,cost,gwl,0,0,0,2,0
230,probably,gwl,2,0,0,0,0
231,trusted,gwl,0,2,0,0,0
232,built,gwl,0,2,0,0,0
233,active,gwl,0,2,0,0,0
234,anybody,gwl,0,0,0,2,0
235,advice,gwl,0,2,0,0,0
236,investment,gwl,0,0,0,2,0
237,members,gwl,2,0,0,0,0
238,maria,gwl,0,0,0,2,0
239,hunger,gwl,0,0,0,2,0
240,1945,gwl,0,0,0,2,0
241,loss,gwl,2,0,0,0,0
242,given,gwl,2,0,0,0,0
243,bonjour,gwl,0,2,0,0,0
244,clear,gwl,2,0,0,0,0
245,african,gwl,2,0,0,0,0
246,strongly,gwl,0,2,0,0,0
247,wouldn't,gwl,2,0,0,0,0
248,multipolar,gwl,0,0,0,2,0
249,moderator,gwl,2,0,0,0,0
250,council,gwl,0,2,0,0,0
251,politicization,gwl,0,0,0,2,0
252,requires,gwl,0,2,0,0,0
253,brings,gwl,0,2,0,0,0
254,centre,gwl,0,2,0,0,0
255,secretariat,gwl,2,0,0,0,0
256,farther,gwl,0,0,0,2,0
257,decision,gwl,0,2,0,0,0
258,sign,gwl,2,0,0,0,0
259,bank,gwl,2,0,0,0,0
260,area,gwl,2,0,0,0,0
261,identify,gwl,2,0,0,0,0
262,looking,gwl,2,0,0,0,0
263,fail,gwl,2,0,0,0,0
264,feel,gwl,2,0,0,0,0
265,interdependence,gwl,0,2,0,0,0
266,talk,gwl,0,0,0,2,0
267,great,gwl,2,0,0,0,0
268,learn,gwl,0,0,0,2,0
269,prevent,gwl,2,0,0,0,0
270,usually,gwl,2,0,0,0,0
271,4,gwl,2,0,0,0,0
272,covid,gwl,0,0,0,2,0
